location,Chennai,Chennai
lat,13.06744,13.06744
lon,80.25395,80.25395
asl,8.800,8.800
variable,Temperature,Mean Sea Level Pressure
unit,°C,hPa
level,2 m elevation corrected,MSL
resolution,hourly,hourly
aggregation,None,None
timestamp,Chennai Temperature [2 m elevation corrected],Chennai Mean Sea Level Pressure [MSL]
20200913T1000,26.4462,1008.6
20200913T1100,26.6062,1008.1
20200913T1200,27.3062,1007.4
20200913T1300,27.6162,1006.0
20200913T1400,27.9962,1005.2
20200913T1500,28.6262,1004.6
20200913T1600,28.9662,1005.3
20200913T1700,28.6562,1005.8
20200913T1800,28.1162,1006.4
20200913T1900,26.9062,1007.3
20200913T2000,25.7462,1007.7
20200913T2100,25.2462,1007.8
20200913T2200,25.2262,1007.5
20200913T2300,25.2562,1006.9
